,region,age,contents,year,value
483,Vinje,80 years or older,Living with others,2019,81
484,Risør,67-79 years,Living alone,2019,339
485,Risør,67-79 years,Living with others,2019,746
486,Risør,80 years or older,Living alone,2019,177
487,Risør,80 years or older,Living with others,2019,151
488,Grimstad,67-79 years,Living alone,2019,601
489,Grimstad,67-79 years,Living with others,2019,1806
490,Grimstad,80 years or older,Living alone,2019,412
491,Grimstad,80 years or older,Living with others,2019,424
492,Arendal,67-79 years,Living alone,2019,1537
493,Arendal,67-79 years,Living with others,2019,3787
494,Arendal,80 years or older,Living alone,2019,965
495,Arendal,80 years or older,Living with others,2019,865
496,Kristiansand,67-79 years,Living alone,2019,2948
497,Kristiansand,67-79 years,Living with others,2019,7580
498,Kristiansand,80 years or older,Living alone,2019,2070
499,Kristiansand,80 years or older,Living with others,2019,1889
500,Lindesnes,67-79 years,Living alone,2019,723
501,Lindesnes,67-79 years,Living with others,2019,1997
502,Lindesnes,80 years or older,Living alone,2019,511
503,Lindesnes,80 years or older,Living with others,2019,431
504,Farsund,67-79 years,Living alone,2019,364
505,Farsund,67-79 years,Living with others,2019,926
506,Farsund,80 years or older,Living alone,2019,235
507,Farsund,80 years or older,Living with others,2019,189
508,Flekkefjord,67-79 years,Living alone,2019,298
509,Flekkefjord,67-79 years,Living with others,2019,827
510,Flekkefjord,80 years or older,Living alone,2019,225
511,Flekkefjord,80 years or older,Living with others,2019,228
512,Gjerstad,67-79 years,Living alone,2019,116
513,Gjerstad,67-79 years,Living with others,2019,230
514,Gjerstad,80 years or older,Living alone,2019,60
515,Gjerstad,80 years or older,Living with others,2019,57
516,Vegårshei,67-79 years,Living alone,2019,60
517,Vegårshei,67-79 years,Living with others,2019,146
518,Vegårshei,80 years or older,Living alone,2019,58
519,Vegårshei,80 years or older,Living with others,2019,39
520,Tvedestrand,67-79 years,Living alone,2019,223
521,Tvedestrand,67-79 years,Living with others,2019,617
522,Tvedestrand,80 years or older,Living alone,2019,151
523,Tvedestrand,80 years or older,Living with others,2019,111
524,Froland,67-79 years,Living alone,2019,148
525,Froland,67-79 years,Living with others,2019,434
526,Froland,80 years or older,Living alone,2019,92
527,Froland,80 years or older,Living with others,2019,72
528,Lillesand,67-79 years,Living alone,2019,301
529,Lillesand,67-79 years,Living with others,2019,964
530,Lillesand,80 years or older,Living alone,2019,196
531,Lillesand,80 years or older,Living with others,2019,189
532,Birkenes,67-79 years,Living alone,2019,135
533,Birkenes,67-79 years,Living with others,2019,428
534,Birkenes,80 years or older,Living alone,2019,90
535,Birkenes,80 years or older,Living with others,2019,70
536,Åmli,67-79 years,Living alone,2019,88
537,Åmli,67-79 years,Living with others,2019,156
538,Åmli,80 years or older,Living alone,2019,53
539,Åmli,80 years or older,Living with others,2019,38
540,Iveland,67-79 years,Living alone,2019,26
541,Iveland,67-79 years,Living with others,2019,96
542,Iveland,80 years or older,Living alone,2019,17
543,Iveland,80 years or older,Living with others,2019,13
544,Evje og Hornnes,67-79 years,Living alone,2019,121
545,Evje og Hornnes,67-79 years,Living with others,2019,341
546,Evje og Hornnes,80 years or older,Living alone,2019,83
547,Evje og Hornnes,80 years or older,Living with others,2019,69
548,Bygland,67-79 years,Living alone,2019,50
549,Bygland,67-79 years,Living with others,2019,124
550,Bygland,80 years or older,Living alone,2019,27
551,Bygland,80 years or older,Living with others,2019,34
552,Valle,67-79 years,Living alone,2019,41
553,Valle,67-79 years,Living with others,2019,125
554,Valle,80 years or older,Living alone,2019,30
555,Valle,80 years or older,Living with others,2019,18
556,Bykle,67-79 years,Living alone,2019,25
557,Bykle,67-79 years,Living with others,2019,66
558,Bykle,80 years or older,Living alone,2019,16
559,Bykle,80 years or older,Living with others,2019,6
560,Vennesla,67-79 years,Living alone,2019,340
561,Vennesla,67-79 years,Living with others,2019,1054
562,Vennesla,80 years or older,Living alone,2019,257
563,Vennesla,80 years or older,Living with others,2019,227
564,Åseral,67-79 years,Living alone,2019,32
565,Åseral,67-79 years,Living with others,2019,50
566,Åseral,80 years or older,Living alone,2019,30
567,Åseral,80 years or older,Living with others,2019,22
568,Lyngdal,67-79 years,Living alone,2019,267
569,Lyngdal,67-79 years,Living with others,2019,832
570,Lyngdal,80 years or older,Living alone,2019,241
571,Lyngdal,80 years or older,Living with others,2019,164
572,Hægebostad,67-79 years,Living alone,2019,47
573,Hægebostad,67-79 years,Living with others,2019,143
574,Hægebostad,80 years or older,Living alone,2019,39
575,Hægebostad,80 years or older,Living with others,2019,31
576,Kvinesdal,67-79 years,Living alone,2019,210
577,Kvinesdal,67-79 years,Living with others,2019,443
578,Kvinesdal,80 years or older,Living alone,2019,154
579,Kvinesdal,80 years or older,Living with others,2019,124
580,Sirdal,67-79 years,Living alone,2019,59
581,Sirdal,67-79 years,Living with others,2019,155
582,Sirdal,80 years or older,Living alone,2019,43
583,Sirdal,80 years or older,Living with others,2019,46
584,Eigersund,67-79 years,Living alone,2019,448
585,Eigersund,67-79 years,Living with others,2019,1215
586,Eigersund,80 years or older,Living alone,2019,360
587,Eigersund,80 years or older,Living with others,2019,258
588,Stavanger,67-79 years,Living alone,2019,3302
589,Stavanger,67-79 years,Living with others,2019,9083
590,Stavanger,80 years or older,Living alone,2019,2405
591,Stavanger,80 years or older,Living with others,2019,1991
592,Haugesund,67-79 years,Living alone,2019,1176
593,Haugesund,67-79 years,Living with others,2019,2634
594,Haugesund,80 years or older,Living alone,2019,827
595,Haugesund,80 years or older,Living with others,2019,542
596,Sandnes,67-79 years,Living alone,2019,1537
597,Sandnes,67-79 years,Living with others,2019,4693
598,Sandnes,80 years or older,Living alone,2019,1087
599,Sandnes,80 years or older,Living with others,2019,1050
600,Sokndal,67-79 years,Living alone,2019,116
601,Sokndal,67-79 years,Living with others,2019,259
602,Sokndal,80 years or older,Living alone,2019,98
603,Sokndal,80 years or older,Living with others,2019,75
604,Lund,67-79 years,Living alone,2019,79
605,Lund,67-79 years,Living with others,2019,264
606,Lund,80 years or older,Living alone,2019,78
607,Lund,80 years or older,Living with others,2019,71
608,Bjerkreim,67-79 years,Living alone,2019,54
609,Bjerkreim,67-79 years,Living with others,2019,206
610,Bjerkreim,80 years or older,Living alone,2019,34
611,Bjerkreim,80 years or older,Living with others,2019,44
612,Hå,67-79 years,Living alone,2019,376
613,Hå,67-79 years,Living with others,2019,1251
614,Hå,80 years or older,Living alone,2019,278
615,Hå,80 years or older,Living with others,2019,298
616,Klepp,67-79 years,Living alone,2019,392
617,Klepp,67-79 years,Living with others,2019,1307
618,Klepp,80 years or older,Living alone,2019,237
619,Klepp,80 years or older,Living with others,2019,277
620,Time,67-79 years,Living alone,2019,371
621,Time,67-79 years,Living with others,2019,1232
622,Time,80 years or older,Living alone,2019,285
623,Time,80 years or older,Living with others,2019,315
624,Gjesdal,67-79 years,Living alone,2019,203
625,Gjesdal,67-79 years,Living with others,2019,678
626,Gjesdal,80 years or older,Living alone,2019,138
627,Gjesdal,80 years or older,Living with others,2019,118
628,Sola,67-79 years,Living alone,2019,477
629,Sola,67-79 years,Living with others,2019,1640
630,Sola,80 years or older,Living alone,2019,350
631,Sola,80 years or older,Living with others,2019,412
632,Randaberg,67-79 years,Living alone,2019,192
633,Randaberg,67-79 years,Living with others,2019,785
634,Randaberg,80 years or older,Living alone,2019,181
635,Randaberg,80 years or older,Living with others,2019,208
636,Strand,67-79 years,Living alone,2019,275
637,Strand,67-79 years,Living with others,2019,964
638,Strand,80 years or older,Living alone,2019,245
639,Strand,80 years or older,Living with others,2019,252
640,Hjelmeland,67-79 years,Living alone,2019,93
641,Hjelmeland,67-79 years,Living with others,2019,258
642,Hjelmeland,80 years or older,Living alone,2019,66
643,Hjelmeland,80 years or older,Living with others,2019,63
644,Suldal,67-79 years,Living alone,2019,115
645,Suldal,67-79 years,Living with others,2019,369
646,Suldal,80 years or older,Living alone,2019,90
647,Suldal,80 years or older,Living with others,2019,91
648,Sauda,67-79 years,Living alone,2019,166
649,Sauda,67-79 years,Living with others,2019,376
650,Sauda,80 years or older,Living alone,2019,161
651,Sauda,80 years or older,Living with others,2019,137
652,Kvitsøy,67-79 years,Living alone,2019,17
653,Kvitsøy,67-79 years,Living with others,2019,53
654,Kvitsøy,80 years or older,Living alone,2019,12
655,Kvitsøy,80 years or older,Living with others,2019,24
656,Bokn,67-79 years,Living alone,2019,25
657,Bokn,67-79 years,Living with others,2019,80
658,Bokn,80 years or older,Living alone,2019,19
659,Bokn,80 years or older,Living with others,2019,33
660,Tysvær,67-79 years,Living alone,2019,246
661,Tysvær,67-79 years,Living with others,2019,921
662,Tysvær,80 years or older,Living alone,2019,167
663,Tysvær,80 years or older,Living with others,2019,200
664,Karmøy,67-79 years,Living alone,2019,1049
665,Karmøy,67-79 years,Living with others,2019,3488
666,Karmøy,80 years or older,Living alone,2019,843
667,Karmøy,80 years or older,Living with others,2019,802
668,Utsira,67-79 years,Living alone,2019,8
669,Utsira,67-79 years,Living with others,2019,17
670,Utsira,80 years or older,Living alone,2019,3
671,Utsira,80 years or older,Living with others,2019,5
672,Vindafjord,67-79 years,Living alone,2019,236
673,Vindafjord,67-79 years,Living with others,2019,671
674,Vindafjord,80 years or older,Living alone,2019,234
675,Vindafjord,80 years or older,Living with others,2019,203
676,Bergen,67-79 years,Living alone,2019,7945
677,Bergen,67-79 years,Living with others,2019,18248
678,Bergen,80 years or older,Living alone,2019,5618
679,Bergen,80 years or older,Living with others,2019,5144
680,Kinn,67-79 years,Living alone,2019,530
681,Kinn,67-79 years,Living with others,2019,1403
682,Kinn,80 years or older,Living alone,2019,477
683,Kinn,80 years or older,Living with others,2019,385
684,Etne,67-79 years,Living alone,2019,147
685,Etne,67-79 years,Living with others,2019,340
686,Etne,80 years or older,Living alone,2019,117
687,Etne,80 years or older,Living with others,2019,116
688,Sveio,67-79 years,Living alone,2019,134
689,Sveio,67-79 years,Living with others,2019,480
690,Sveio,80 years or older,Living alone,2019,85
691,Sveio,80 years or older,Living with others,2019,97
692,Bømlo,67-79 years,Living alone,2019,291
693,Bømlo,67-79 years,Living with others,2019,989
694,Bømlo,80 years or older,Living alone,2019,272
695,Bømlo,80 years or older,Living with others,2019,215
696,Stord,67-79 years,Living alone,2019,421
697,Stord,67-79 years,Living with others,2019,1525
698,Stord,80 years or older,Living alone,2019,344
699,Stord,80 years or older,Living with others,2019,366
700,Fitjar,67-79 years,Living alone,2019,66
701,Fitjar,67-79 years,Living with others,2019,278
702,Fitjar,80 years or older,Living alone,2019,52
703,Fitjar,80 years or older,Living with others,2019,60
704,Tysnes,67-79 years,Living alone,2019,123
705,Tysnes,67-79 years,Living with others,2019,325
706,Tysnes,80 years or older,Living alone,2019,101
707,Tysnes,80 years or older,Living with others,2019,81
708,Kvinnherad,67-79 years,Living alone,2019,455
709,Kvinnherad,67-79 years,Living with others,2019,1284
710,Kvinnherad,80 years or older,Living alone,2019,360
711,Kvinnherad,80 years or older,Living with others,2019,392
712,Ullensvang,67-79 years,Living alone,2019,418
713,Ullensvang,67-79 years,Living with others,2019,1122
714,Ullensvang,80 years or older,Living alone,2019,420
715,Ullensvang,80 years or older,Living with others,2019,337
716,Eidfjord,67-79 years,Living alone,2019,51
717,Eidfjord,67-79 years,Living with others,2019,60
718,Eidfjord,80 years or older,Living alone,2019,26
719,Eidfjord,80 years or older,Living with others,2019,30
720,Ulvik,67-79 years,Living alone,2019,45
721,Ulvik,67-79 years,Living with others,2019,127
722,Ulvik,80 years or older,Living alone,2019,31
723,Ulvik,80 years or older,Living with others,2019,25
724,Voss,67-79 years,Living alone,2019,526
725,Voss,67-79 years,Living with others,2019,1370
726,Voss,80 years or older,Living alone,2019,478
727,Voss,80 years or older,Living with others,2019,460
728,Kvam,67-79 years,Living alone,2019,272
729,Kvam,67-79 years,Living with others,2019,810
730,Kvam,80 years or older,Living alone,2019,243
731,Kvam,80 years or older,Living with others,2019,228
732,Samnanger,67-79 years,Living alone,2019,69
733,Samnanger,67-79 years,Living with others,2019,278
734,Samnanger,80 years or older,Living alone,2019,60
735,Samnanger,80 years or older,Living with others,2019,57
736,Bjørnafjorden,67-79 years,Living alone,2019,556
737,Bjørnafjorden,67-79 years,Living with others,2019,2022
738,Bjørnafjorden,80 years or older,Living alone,2019,380
739,Bjørnafjorden,80 years or older,Living with others,2019,442
740,Austevoll,67-79 years,Living alone,2019,125
741,Austevoll,67-79 years,Living with others,2019,422
742,Austevoll,80 years or older,Living alone,2019,114
743,Austevoll,80 years or older,Living with others,2019,103
744,Øygarden,67-79 years,Living alone,2019,803
745,Øygarden,67-79 years,Living with others,2019,2822
746,Øygarden,80 years or older,Living alone,2019,451
747,Øygarden,80 years or older,Living with others,2019,550
748,Askøy,67-79 years,Living alone,2019,569
749,Askøy,67-79 years,Living with others,2019,2144
750,Askøy,80 years or older,Living alone,2019,366
751,Askøy,80 years or older,Living with others,2019,436
752,Vaksdal,67-79 years,Living alone,2019,129
753,Vaksdal,67-79 years,Living with others,2019,342
754,Vaksdal,80 years or older,Living alone,2019,156
755,Vaksdal,80 years or older,Living with others,2019,123
756,Modalen,67-79 years,Living alone,2019,13
757,Modalen,67-79 years,Living with others,2019,21
758,Modalen,80 years or older,Living alone,2019,9
759,Modalen,80 years or older,Living with others,2019,14
760,Osterøy,67-79 years,Living alone,2019,205
761,Osterøy,67-79 years,Living with others,2019,701
762,Osterøy,80 years or older,Living alone,2019,170
763,Osterøy,80 years or older,Living with others,2019,198
764,Alver,67-79 years,Living alone,2019,710
765,Alver,67-79 years,Living with others,2019,2521
766,Alver,80 years or older,Living alone,2019,510
767,Alver,80 years or older,Living with others,2019,560
768,Austrheim,67-79 years,Living alone,2019,102
769,Austrheim,67-79 years,Living with others,2019,322
770,Austrheim,80 years or older,Living alone,2019,65
771,Austrheim,80 years or older,Living with others,2019,61
772,Fedje,67-79 years,Living alone,2019,21
773,Fedje,67-79 years,Living with others,2019,57
774,Fedje,80 years or older,Living alone,2019,22
775,Fedje,80 years or older,Living with others,2019,21
776,Masfjorden,67-79 years,Living alone,2019,52
777,Masfjorden,67-79 years,Living with others,2019,181
778,Masfjorden,80 years or older,Living alone,2019,76
779,Masfjorden,80 years or older,Living with others,2019,40
780,Gulen,67-79 years,Living alone,2019,87
781,Gulen,67-79 years,Living with others,2019,230
782,Gulen,80 years or older,Living alone,2019,91
783,Gulen,80 years or older,Living with others,2019,56
784,Solund,67-79 years,Living alone,2019,32
785,Solund,67-79 years,Living with others,2019,95
786,Solund,80 years or older,Living alone,2019,33
787,Solund,80 years or older,Living with others,2019,24
788,Hyllestad,67-79 years,Living alone,2019,66
789,Hyllestad,67-79 years,Living with others,2019,169
790,Hyllestad,80 years or older,Living alone,2019,53
791,Hyllestad,80 years or older,Living with others,2019,36
792,Høyanger,67-79 years,Living alone,2019,163
793,Høyanger,67-79 years,Living with others,2019,369
794,Høyanger,80 years or older,Living alone,2019,131
795,Høyanger,80 years or older,Living with others,2019,115
796,Vik,67-79 years,Living alone,2019,97
797,Vik,67-79 years,Living with others,2019,294
798,Vik,80 years or older,Living alone,2019,116
799,Vik,80 years or older,Living with others,2019,94
800,Sogndal,67-79 years,Living alone,2019,320
801,Sogndal,67-79 years,Living with others,2019,991
802,Sogndal,80 years or older,Living alone,2019,264
803,Sogndal,80 years or older,Living with others,2019,242
804,Aurland,67-79 years,Living alone,2019,61
805,Aurland,67-79 years,Living with others,2019,160
806,Aurland,80 years or older,Living alone,2019,45
807,Aurland,80 years or older,Living with others,2019,52
808,Lærdal,67-79 years,Living alone,2019,72
809,Lærdal,67-79 years,Living with others,2019,242
810,Lærdal,80 years or older,Living alone,2019,63
811,Lærdal,80 years or older,Living with others,2019,50
812,Årdal,67-79 years,Living alone,2019,182
813,Årdal,67-79 years,Living with others,2019,519
814,Årdal,80 years or older,Living alone,2019,203
815,Årdal,80 years or older,Living with others,2019,146
816,Luster,67-79 years,Living alone,2019,158
817,Luster,67-79 years,Living with others,2019,477
818,Luster,80 years or older,Living alone,2019,169
819,Luster,80 years or older,Living with others,2019,147
820,Askvoll,67-79 years,Living alone,2019,118
821,Askvoll,67-79 years,Living with others,2019,339
822,Askvoll,80 years or older,Living alone,2019,115
823,Askvoll,80 years or older,Living with others,2019,114
824,Fjaler,67-79 years,Living alone,2019,121
825,Fjaler,67-79 years,Living with others,2019,276
826,Fjaler,80 years or older,Living alone,2019,88
827,Fjaler,80 years or older,Living with others,2019,66
828,Sunnfjord,67-79 years,Living alone,2019,527
829,Sunnfjord,67-79 years,Living with others,2019,1601
830,Sunnfjord,80 years or older,Living alone,2019,405
831,Sunnfjord,80 years or older,Living with others,2019,449
832,Bremanger,67-79 years,Living alone,2019,141
833,Bremanger,67-79 years,Living with others,2019,397
834,Bremanger,80 years or older,Living alone,2019,161
835,Bremanger,80 years or older,Living with others,2019,148
836,Stad,67-79 years,Living alone,2019,268
837,Stad,67-79 years,Living with others,2019,808
838,Stad,80 years or older,Living alone,2019,224
839,Stad,80 years or older,Living with others,2019,222
840,Gloppen,67-79 years,Living alone,2019,189
841,Gloppen,67-79 years,Living with others,2019,591
842,Gloppen,80 years or older,Living alone,2019,194
843,Gloppen,80 years or older,Living with others,2019,161
844,Stryn,67-79 years,Living alone,2019,218
845,Stryn,67-79 years,Living with others,2019,628
846,Stryn,80 years or older,Living alone,2019,172
847,Stryn,80 years or older,Living with others,2019,181
848,Kristiansund,67-79 years,Living alone,2019,918
849,Kristiansund,67-79 years,Living with others,2019,2198
850,Kristiansund,80 years or older,Living alone,2019,574
851,Kristiansund,80 years or older,Living with others,2019,424
852,Molde,67-79 years,Living alone,2019,1067
853,Molde,67-79 years,Living with others,2019,2868
854,Molde,80 years or older,Living alone,2019,745
855,Molde,80 years or older,Living with others,2019,728
856,Ålesund,67-79 years,Living alone,2019,1829
857,Ålesund,67-79 years,Living with others,2019,5029
858,Ålesund,80 years or older,Living alone,2019,1466
859,Ålesund,80 years or older,Living with others,2019,1257
860,Vanylven,67-79 years,Living alone,2019,143
861,Vanylven,67-79 years,Living with others,2019,398
862,Vanylven,80 years or older,Living alone,2019,112
863,Vanylven,80 years or older,Living with others,2019,89
864,Sande,67-79 years,Living alone,2019,85
865,Sande,67-79 years,Living with others,2019,241
866,Sande,80 years or older,Living alone,2019,99
867,Sande,80 years or older,Living with others,2019,81
868,Herøy (Møre og Romsdal),67-79 years,Living alone,2019,221
869,Herøy (Møre og Romsdal),67-79 years,Living with others,2019,845
870,Herøy (Møre og Romsdal),80 years or older,Living alone,2019,237
871,Herøy (Møre og Romsdal),80 years or older,Living with others,2019,201
872,Ulstein,67-79 years,Living alone,2019,216
873,Ulstein,67-79 years,Living with others,2019,633
874,Ulstein,80 years or older,Living alone,2019,165
875,Ulstein,80 years or older,Living with others,2019,156
876,Hareid,67-79 years,Living alone,2019,154
877,Hareid,67-79 years,Living with others,2019,393
878,Hareid,80 years or older,Living alone,2019,141
879,Hareid,80 years or older,Living with others,2019,114
880,Ørsta,67-79 years,Living alone,2019,332
881,Ørsta,67-79 years,Living with others,2019,932
882,Ørsta,80 years or older,Living alone,2019,243
883,Ørsta,80 years or older,Living with others,2019,280
884,Stranda,67-79 years,Living alone,2019,137
885,Stranda,67-79 years,Living with others,2019,452
886,Stranda,80 years or older,Living alone,2019,151
887,Stranda,80 years or older,Living with others,2019,145
888,Sykkylven,67-79 years,Living alone,2019,216
889,Sykkylven,67-79 years,Living with others,2019,707
890,Sykkylven,80 years or older,Living alone,2019,166
891,Sykkylven,80 years or older,Living with others,2019,165
892,Sula,67-79 years,Living alone,2019,220
893,Sula,67-79 years,Living with others,2019,639
894,Sula,80 years or older,Living alone,2019,184
895,Sula,80 years or older,Living with others,2019,196
896,Giske,67-79 years,Living alone,2019,171
897,Giske,67-79 years,Living with others,2019,638
898,Giske,80 years or older,Living alone,2019,148
899,Giske,80 years or older,Living with others,2019,163
900,Vestnes,67-79 years,Living alone,2019,238
901,Vestnes,67-79 years,Living with others,2019,589
902,Vestnes,80 years or older,Living alone,2019,179
903,Vestnes,80 years or older,Living with others,2019,156
904,Rauma,67-79 years,Living alone,2019,288
905,Rauma,67-79 years,Living with others,2019,752
906,Rauma,80 years or older,Living alone,2019,235
907,Rauma,80 years or older,Living with others,2019,203
908,Aukra,67-79 years,Living alone,2019,102
909,Aukra,67-79 years,Living with others,2019,339
910,Aukra,80 years or older,Living alone,2019,74
911,Aukra,80 years or older,Living with others,2019,103
912,Averøy,67-79 years,Living alone,2019,191
913,Averøy,67-79 years,Living with others,2019,589
914,Averøy,80 years or older,Living alone,2019,134
915,Averøy,80 years or older,Living with others,2019,99
916,Gjemnes,67-79 years,Living alone,2019,94
917,Gjemnes,67-79 years,Living with others,2019,291
918,Gjemnes,80 years or older,Living alone,2019,76
919,Gjemnes,80 years or older,Living with others,2019,57
920,Tingvoll,67-79 years,Living alone,2019,120
921,Tingvoll,67-79 years,Living with others,2019,346
922,Tingvoll,80 years or older,Living alone,2019,111
923,Tingvoll,80 years or older,Living with others,2019,77
924,Sunndal,67-79 years,Living alone,2019,256
925,Sunndal,67-79 years,Living with others,2019,600
926,Sunndal,80 years or older,Living alone,2019,203
927,Sunndal,80 years or older,Living with others,2019,162
928,Surnadal,67-79 years,Living alone,2019,204
929,Surnadal,67-79 years,Living with others,2019,673
930,Surnadal,80 years or older,Living alone,2019,146
931,Surnadal,80 years or older,Living with others,2019,148
932,Smøla,67-79 years,Living alone,2019,76
933,Smøla,67-79 years,Living with others,2019,230
934,Smøla,80 years or older,Living alone,2019,73
935,Smøla,80 years or older,Living with others,2019,71
936,Aure,67-79 years,Living alone,2019,135
937,Aure,67-79 years,Living with others,2019,399
938,Aure,80 years or older,Living alone,2019,129
939,Aure,80 years or older,Living with others,2019,100
940,Volda,67-79 years,Living alone,2019,269
941,Volda,67-79 years,Living with others,2019,920
942,Volda,80 years or older,Living alone,2019,251
943,Volda,80 years or older,Living with others,2019,267
944,Fjord,67-79 years,Living alone,2019,81
945,Fjord,67-79 years,Living with others,2019,276
946,Fjord,80 years or older,Living alone,2019,88
947,Fjord,80 years or older,Living with others,2019,83
948,Hustadvika,67-79 years,Living alone,2019,399
949,Hustadvika,67-79 years,Living with others,2019,1181
950,Hustadvika,80 years or older,Living alone,2019,282
951,Hustadvika,80 years or older,Living with others,2019,238
952,Trondheim,67-79 years,Living alone,2019,5483
953,Trondheim,67-79 years,Living with others,2019,12959
954,Trondheim,80 years or older,Living alone,2019,3276
955,Trondheim,80 years or older,Living with others,2019,2887
956,teinkj,67-79 years,Living alone,2019,883
957,teinkj,67-79 years,Living with others,2019,2326
958,teinkj,80 years or older,Living alone,2019,686
959,teinkj,80 years or older,Living with others,2019,595
960,Namsos,67-79 years,Living alone,2019,527
961,Namsos,67-79 years,Living with others,2019,1378
962,Namsos,80 years or older,Living alone,2019,394
963,Namsos,80 years or older,Living with others,2019,337
964,Frøya,67-79 years,Living alone,2019,145
965,Frøya,67-79 years,Living with others,2019,363
966,Frøya,80 years or older,Living alone,2019,122
967,Frøya,80 years or older,Living with others,2019,108
968,Osen,67-79 years,Living alone,2019,53
969,Osen,67-79 years,Living with others,2019,118
